111701051,CS2030,88
121901010,EE4150,61
121701008,EE2170,17
101901026,CE3030,13
101901026,CE4170,52
101901026,CE2050,38
131801018,ME4502,14
131801018,ME2030,36
131801018,ME3601,69
131701039,ME3090,68
131701039,ME3030,73
121801017,EE2070,63
121801017,EE3010,3
121801017,EE2030,95
121701030,EE4502,70
121701030,EE4150,77
101901006,CE2030,55
101901006,CE2050,32
131701044,ME2030,91
131901016,ME3506,49
131901016,ME4502,2
131901016,ME4110,53
131801046,ME3010,78
131801046,ME3090,61
131801046,ME3506,16
131701023,ME3010,73
131701023,ME4110,82
101801011,CE3110,1
101801011,CE4110,94
101801011,CE3030,83
101801011,CE4512,60
111901015,CS3010,45
111901015,CS3010,16
131801045,ME3050,36
131801045,ME3070,54
131801045,ME2030,68
121701053,EE3150,2
121701053,EE2140,48
131801024,ME4110,32
131801024,ME4010,52
131801024,ME3505,87
131801024,ME3505,99
101801050,CE3110,89
101801050,CE3090,57
101801050,CE5510,78
101801050,CE5510,77
121701045,EE4150,25
121701045,EE3050,91
131801011,ME3030,57
131801011,ME4010,46
131801011,ME3506,47
131801047,ME4010,64
131801047,ME3070,80
131801047,ME4170,92
131801047,ME3506,77
131801055,ME3506,98
131801055,ME2010,74
131801055,ME2010,26
101901049,CE2030,78
111701007,CS3110,5
131701007,ME3010,90
131701007,ME3090,94
131701007,ME2030,38
131801004,ME2030,32
131801004,ME3090,87
131801004,ME3506,14
131801004,ME3010,18
111801024,CS5004,87
111801024,CS4110,30
111801024,CS2010,17
121801007,EE2010,33
121801007,EE2030,50
121801007,EE2070,82
111801024,CS3030,15
121701009,EE4110,56
121801052,EE4502,28
121801052,EE2170,7
131901040,ME4010,18
131901040,ME3506,12
131901040,ME3050,76
131901040,ME3506,20
111901032,CS3030,6
111901032,CS3050,34
111901032,CS3030,42
111901032,CS5001,4
111701007,CS5001,13
131901054,ME4170,49
131901054,ME3506,14
131901054,ME4502,13
131901054,ME2010,88
131701006,ME2010,82
101901020,CE2050,71
101901020,CE3090,3
131901049,ME4110,81
131901049,ME4010,70
131901049,ME3505,69
131901049,ME4010,85
101901029,CE5510,63
121701035,EE3050,73
